volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,density,pH,sulphates,alcohol,quality
0.4,0.4,2.2,0.079,19.0,0.998,3.44,0.64,9.2,5
0.69,0.49,1.8,0.115,20.0,0.9968,3.21,0.71,9.3,5
0.735,0.05,2.0,0.081,13.0,0.9966,3.39,0.57,9.8,5
0.725,0.05,4.65,0.086,4.0,0.9962,3.41,0.39,10.9,5
0.705,0.07,1.6,0.076,6.0,0.9962,3.44,0.58,10.7,5
0.705,0.05,1.9,0.074,8.0,0.9962,3.34,0.95,10.5,6
0.69,0.22,1.9,0.084,18.0,0.9961,3.31,0.48,9.5,5
0.675,0.26,2.1,0.084,11.0,0.9976,3.31,0.53,9.2,4
0.41,0.64,2.2,0.093,9.0,0.9986,3.54,0.66,10.5,5
0.785,0.0,2.4,0.104,14.0,0.9966,3.52,0.55,10.7,6
0.75,0.12,2.0,0.086,12.0,0.9958,3.38,0.52,10.1,5
0.625,0.2,1.5,0.08,27.0,0.9972,3.16,1.12,9.1,4
0.45,0.2,1.6,0.069,3.0,0.9958,3.41,0.56,9.2,5
0.5,0.47,2.0,0.086,21.0,0.997,3.36,0.57,9.1,5
0.3,0.48,1.8,0.069,18.0,0.9959,3.44,0.78,10.3,6
0.55,0.15,2.2,0.076,19.0,0.9961,3.41,0.59,10.1,5
0.49,0.26,1.9,0.062,9.0,0.9966,3.39,0.64,9.6,5
0.39,0.44,2.1,0.107,34.0,0.9978,3.14,1.22,9.5,5
0.62,0.08,1.8,0.076,8.0,0.9978,3.48,0.53,9.0,5
0.52,0.26,1.9,0.079,42.0,0.9964,3.23,0.54,9.5,5
0.775,0.0,3.0,0.102,8.0,0.9965,3.45,0.56,10.7,5
0.9,0.06,2.5,0.079,5.0,0.9967,3.39,0.56,9.8,5
0.545,0.18,1.9,0.08,13.0,0.9972,3.3,0.59,9.0,6
0.61,0.3,2.1,0.084,11.0,0.9972,3.4,0.61,10.2,6
0.575,0.22,2.1,0.077,12.0,0.9967,3.29,0.51,9.2,5
0.49,0.24,2.2,0.07,5.0,0.996,3.33,0.48,9.4,5
0.63,0.31,1.7,0.088,15.0,0.9969,3.46,0.79,9.3,5
0.56,0.19,1.8,0.104,12.0,0.9964,3.19,0.93,9.5,5
0.62,0.09,2.2,0.084,11.0,0.9964,3.15,0.66,9.8,5
0.31,0.44,2.3,0.08,22.0,0.9988,3.32,0.67,9.7,6
0.4,0.31,2.2,0.09,13.0,0.9966,3.07,0.63,10.5,6
0.54,0.28,1.9,0.077,11.0,0.9978,3.39,0.61,10.0,6
0.55,0.04,2.2,0.119,14.0,0.9962,3.21,0.6,10.9,6
0.695,0.0,2.5,0.075,3.0,0.998,3.49,0.52,9.2,5
0.5,0.17,1.6,0.0819999999999999,21.0,0.996,3.39,0.48,9.5,5
0.59,0.16,1.8,0.065,3.0,0.9962,3.42,0.92,10.5,7
0.745,0.56,2.0,0.118,30.0,0.9968,3.24,0.66,9.4,5
0.5,0.09,2.3,0.049,17.0,0.9937,3.63,0.63,13.0,5
1.04,0.05,2.2,0.084,13.0,0.9959,3.22,0.55,9.9,6
0.745,0.11,1.9,0.09,16.0,0.9965,3.19,0.82,9.6,5
0.415,0.36,2.0,0.081,13.0,0.9972,3.48,0.64,9.2,5
0.39,0.08,1.7,0.066,3.0,0.9954,3.34,0.58,9.4,5
0.67,0.55,1.8,0.1169999999999999,32.0,0.9968,3.17,0.62,9.4,5
0.68,0.02,1.8,0.087,21.0,0.9944,3.54,0.52,10.0,5
0.49,0.1,2.3,0.074,12.0,0.9959,3.42,0.58,10.2,6
0.33,0.47,2.1,0.077,5.0,0.9958,3.33,0.53,10.3,6
0.6,0.03,1.8,0.095,25.0,0.995,3.35,0.54,10.1,5
0.43,0.42,5.5,0.071,28.0,0.9973,3.42,0.71,10.5,5
0.43,0.42,5.5,0.07,29.0,0.9973,3.42,0.72,10.5,5
0.68,0.0,2.2,0.073,12.0,0.9969,3.48,0.5,9.3,5
0.6,0.18,1.9,0.079,18.0,0.9968,3.59,0.57,9.3,6
0.95,0.03,2.0,0.09,7.0,0.9959,3.2,0.56,9.6,5
0.68,0.02,1.3,0.072,9.0,0.9965,3.17,1.08,9.2,4
0.53,0.04,1.7,0.076,17.0,0.9964,3.33,0.56,10.0,6
0.6,0.26,7.3,0.07,36.0,0.9982,3.37,0.49,9.4,5
0.59,0.26,7.2,0.07,35.0,0.9981,3.37,0.49,9.4,5
0.63,0.48,1.7,0.1,14.0,0.9961,3.19,0.62,9.5,5
0.64,0.1,2.1,0.085,18.0,0.9956,3.34,0.52,10.2,5
0.55,0.03,1.6,0.072,17.0,0.9956,3.37,0.48,9.0,4
0.63,0.07,2.1,0.089,11.0,0.9953,3.47,0.55,10.4,6
0.885,0.03,1.8,0.0579999999999999,4.0,0.9972,3.36,0.33,9.1,4
0.42,0.17,2.0,0.073,6.0,0.9972,3.29,0.61,9.2,6
0.62,0.05,1.9,0.068,24.0,0.9961,3.42,0.57,11.5,6
0.5,0.04,1.5,0.085,19.0,0.9958,3.35,0.78,9.5,5
0.38,0.21,2.0,0.08,7.0,0.9961,3.33,0.47,9.5,5
0.52,0.42,2.3,0.087,8.0,0.9972,3.58,0.61,10.5,6
0.805,0.0,2.5,0.068,7.0,0.9969,3.48,0.56,9.6,5
0.61,0.14,2.4,0.067,10.0,0.9969,3.19,0.59,9.5,5
0.61,0.49,2.0,0.27,23.0,0.9972,3.12,1.02,9.3,5
0.73,0.02,2.5,0.076,16.0,0.9972,3.44,0.52,9.3,5
0.61,0.2,1.8,0.077,11.0,0.9971,3.54,0.58,9.3,5
0.62,0.21,1.9,0.079,8.0,0.997,3.52,0.58,9.3,6
0.31,0.57,2.0,0.111,26.0,0.9971,3.26,0.53,9.7,5
0.39,0.48,2.0,0.0819999999999999,14.0,0.9972,3.34,0.55,9.2,5
0.5,0.33,2.0,0.084,15.0,0.9968,3.2,0.55,9.5,5
0.5,0.35,2.9,0.077,21.0,0.9976,3.23,0.62,9.4,5
0.37,0.25,1.9,0.074,21.0,0.9974,3.57,0.62,9.8,6
0.55,0.21,2.2,0.071,7.0,0.9964,3.28,0.55,9.7,5
0.58,0.3,2.4,0.074,15.0,0.9968,3.46,0.59,10.2,5
0.3,0.6,2.0,0.067,12.0,0.9981,3.11,0.97,10.1,6
0.32,0.47,1.4,0.0559999999999999,9.0,0.99695,3.22,0.82,10.3,7
0.43,0.36,1.6,0.089,14.0,0.99615,3.34,0.56,9.2,6
0.3,0.74,2.6,0.095,9.0,0.9994,3.2,0.77,10.8,7
0.44,0.28,2.7,0.1,18.0,0.9966,3.22,0.67,9.4,5
0.53,0.6,2.0,0.039,5.0,0.99585,3.3,0.86,12.4,6
0.725,0.24,2.8,0.083,10.0,0.99685,3.35,0.56,10.0,6
0.57,0.26,2.2,0.06,28.0,0.9959,3.3,0.43,10.1,5
0.735,0.08,2.4,0.092,10.0,0.9974,3.24,0.71,9.8,6
0.49,0.49,5.6,0.06,26.0,0.9974,3.34,0.76,10.5,5
0.625,0.16,2.0,0.1009999999999999,13.0,0.9962,3.14,0.57,11.0,5
0.725,0.22,2.2,0.072,11.0,0.9967,3.36,0.55,9.1,5
0.49,0.19,1.9,0.076,10.0,0.9957,3.39,0.54,9.7,5
0.34,0.37,2.0,0.0819999999999999,24.0,0.9964,3.34,0.59,9.4,6
0.53,0.26,2.0,0.1009999999999999,16.0,0.9957,3.15,0.57,9.4,5
0.61,0.04,1.5,0.057,5.0,0.99525,3.42,0.6,9.5,5
0.645,0.25,2.0,0.083,8.0,0.99815,3.28,0.6,10.0,6
0.43,0.25,2.6,0.073,29.0,0.99615,3.37,0.58,10.5,6
0.48,0.04,1.6,0.054,19.0,0.9927,3.54,0.62,12.2,7
0.38,0.06,1.8,0.078,12.0,0.99625,3.37,0.52,9.9,6
0.37,0.2,2.8,0.09,18.0,0.998,3.34,0.7,9.6,6
1.0,0.09,2.3,0.065,7.0,0.99685,3.32,0.55,9.0,6
0.63,0.0,1.9,0.0969999999999999,14.0,0.99675,3.37,0.58,9.0,6
0.635,0.37,1.7,0.263,5.0,0.9971,3.0,1.09,9.3,5
0.38,0.56,2.1,0.093,6.0,0.99925,3.14,0.71,10.9,6
0.58,0.1,1.8,0.102,28.0,0.99565,3.08,0.49,9.8,6
0.21,0.44,2.2,0.075,10.0,1.00005,3.07,0.84,9.2,7
0.66,0.0,2.0,0.084,6.0,0.9983,3.61,0.96,9.9,6
0.68,0.07,1.9,0.075,16.0,0.99685,3.38,0.52,9.5,5
0.32,0.44,1.6,0.063,16.0,0.9985,3.22,0.78,10.0,6
0.6,0.0,1.8,0.074,16.0,0.9972,3.47,0.7,9.9,6
0.35,0.48,3.1,0.09,5.0,0.9986,3.17,0.53,10.5,5
0.775,0.42,1.9,0.092,8.0,0.9959,3.23,0.59,9.5,5
0.57,0.23,3.2,0.073,17.0,0.99675,3.26,0.57,9.3,5
0.34,0.37,2.2,0.075,5.0,0.998,3.22,0.62,9.2,5
0.695,0.0,2.1,0.075,12.0,0.9968,3.49,0.67,9.2,5
0.31,0.47,2.6,0.085,14.0,0.99965,3.36,0.8,10.5,7
0.33,0.23,1.7,0.077,18.0,0.99625,3.29,0.65,9.3,5
0.975,0.04,2.0,0.087,12.0,0.99565,3.35,0.6,9.4,4
0.52,0.03,1.7,0.07,10.0,0.99575,3.34,0.57,10.0,5
0.37,0.23,1.8,0.077,23.0,0.9963,3.28,0.67,9.3,5
0.56,0.49,2.4,0.064,5.0,0.9999,3.08,0.87,10.9,5
0.87,0.0,3.3,0.096,26.0,1.00025,3.6,0.72,9.8,4
0.35,0.46,3.6,0.078,15.0,0.9973,3.35,0.86,12.8,8
0.54,0.04,3.0,0.077,7.0,0.9987,3.69,0.91,9.4,6
0.18,0.51,4.0,0.104,4.0,0.9996,3.28,0.97,10.1,6
0.545,0.06,4.0,0.087,27.0,0.9965,3.36,0.67,10.7,6
0.32,0.45,6.4,0.073,5.0,0.9976,3.23,0.82,12.6,8
0.4,0.32,5.6,0.087,10.0,0.9991,3.38,0.77,10.5,7
0.26,0.44,3.6,0.071,6.0,0.9986,3.12,0.82,9.3,6
0.27,0.68,3.5,0.358,5.0,0.9972,3.25,1.08,9.9,7
0.59,0.07,3.4,0.102,32.0,1.00015,3.31,0.71,9.8,5
0.45,0.55,2.0,0.073,25.0,0.9997,3.1,0.76,10.3,6
0.4,0.12,3.0,0.092,29.0,0.9967,3.37,0.7,10.3,6
0.52,0.09,2.5,0.091,20.0,0.9976,3.34,0.86,10.6,7
0.42,0.53,3.3,0.105,33.0,1.001,3.2,0.95,9.2,5
0.55,0.23,2.7,0.091,18.0,0.9994,3.22,0.64,10.3,6
0.36,0.25,2.4,0.098,5.0,0.9964,3.41,0.6,10.1,6
0.34,0.52,3.2,0.094,17.0,1.0014,3.05,0.81,9.5,6
0.5,0.46,2.5,0.073,5.0,1.0001,3.05,0.64,9.5,5
0.83,0.37,2.6,0.086,26.0,0.9981,3.16,0.52,9.9,5
0.63,0.06,2.0,0.083,8.0,0.99855,3.67,0.73,9.6,5
0.65,0.02,2.3,0.094,5.0,0.9993,3.67,0.8,9.7,5
0.53,0.06,2.6,0.086,20.0,0.9965,3.38,0.59,10.7,6
0.18,0.48,1.5,0.068,7.0,0.9973,3.22,0.64,10.1,6
0.705,0.12,2.6,0.092,12.0,0.9994,3.51,0.72,10.0,5
0.65,0.6,2.1,0.1119999999999999,12.0,0.9973,3.2,0.52,9.2,5
0.62,0.32,2.2,0.0819999999999999,7.0,0.9966,3.36,0.52,9.4,5
0.41,0.42,2.4,0.213,6.0,0.9994,3.19,0.62,9.5,6
0.43,0.44,2.4,0.214,5.0,0.9994,3.19,0.63,9.5,6
0.53,0.24,2.0,0.072,15.0,0.996,3.27,0.54,9.4,6
0.46,0.31,2.8,0.093,19.0,0.99815,3.32,0.63,9.5,6
0.47,0.3,3.0,0.076,30.0,0.9976,3.3,0.53,9.4,5
0.36,0.29,2.6,0.087,26.0,0.99645,3.39,0.68,11.0,5
0.66,0.39,3.2,0.083,21.0,0.9989,3.37,0.71,11.5,7
0.77,0.12,2.9,0.0819999999999999,30.0,0.99865,3.3,0.64,10.4,6
0.61,0.26,3.4,0.09,25.0,0.99975,3.24,0.62,9.7,5
0.53,0.66,3.65,0.121,6.0,0.9978,3.05,0.74,11.5,7
0.44,0.5,4.5,0.107,5.0,0.998,3.28,0.83,11.5,5
0.27,0.62,2.6,0.0819999999999999,6.0,1.0002,3.16,0.67,9.7,6
0.56,0.08,2.1,0.105,16.0,0.9958,3.13,0.52,11.0,5
0.65,0.01,2.5,0.078,17.0,0.9963,3.34,0.74,11.7,7
0.695,0.53,3.4,0.128,7.0,0.9992,3.17,0.84,12.2,7
0.43,0.45,1.9,0.052,6.0,0.9948,3.35,0.7,12.5,6
0.43,0.32,2.8,0.08,29.0,0.9974,3.31,0.64,10.3,5
0.28,0.54,2.3,0.0819999999999999,12.0,0.9997,3.11,1.36,9.8,7
0.39,0.47,1.8,0.118,6.0,0.9982,3.3,0.75,9.8,6
0.57,0.5,2.6,0.0819999999999999,6.0,1.0006,3.12,0.78,10.7,6
0.49,0.67,3.0,0.093,6.0,0.9986,3.02,0.93,12.0,6
0.56,0.31,2.8,0.089,15.0,0.9979,3.11,0.92,10.0,6
0.795,0.0,2.6,0.096,11.0,0.9994,3.35,0.83,9.4,6
0.665,0.0,2.4,0.09,8.0,0.9974,3.27,0.73,9.3,5
0.21,0.4,1.4,0.066,40.5,0.9912,3.25,0.59,11.9,6
0.75,0.01,2.4,0.078,17.0,0.9955,3.55,0.61,12.8,6
0.41,0.52,3.0,0.08,29.0,1.0001,3.26,0.88,11.0,5
0.42,0.66,2.95,0.1159999999999999,12.0,0.997,3.24,0.75,11.7,7
0.43,0.66,3.1,0.109,10.0,1.0,3.15,0.85,10.4,7
0.38,0.66,2.6,0.088,10.0,1.001,3.17,0.68,9.8,6
0.7,0.23,2.0,0.099,14.0,0.9973,3.19,0.7,9.4,5
0.45,0.31,2.6,0.086,21.0,0.9982,3.37,0.91,9.9,6
0.58,0.66,2.5,0.072,6.0,0.9992,3.05,0.56,10.0,5
0.46,0.63,2.0,0.071,6.0,0.9988,2.99,0.87,10.2,5
0.615,0.66,5.8,0.083,7.0,1.0022,3.07,0.73,10.0,7
0.575,0.61,2.6,0.076,11.0,1.0,3.16,0.69,9.0,5
0.27,0.53,2.4,0.074,6.0,0.9962,3.2,1.13,12.0,7
0.24,0.4,1.6,0.0559999999999999,11.0,0.9967,3.32,0.87,8.7,6
0.28,0.48,1.8,0.067,26.0,0.9967,3.32,1.04,10.6,6
0.45,0.5,3.0,0.078,19.0,1.0003,3.26,1.11,11.0,6
0.625,0.66,6.2,0.088,6.0,0.9988,3.11,0.99,13.3,6
0.26,0.42,2.0,0.08,11.0,0.9974,3.21,0.8,9.4,6
0.51,0.28,2.1,0.087,23.0,0.998,3.42,0.74,9.2,5
0.46,0.26,1.9,0.088,23.0,0.9981,3.43,0.74,9.2,6
0.85,0.05,1.4,0.045,12.0,0.9924,3.56,0.82,12.9,8
0.415,0.68,2.9,0.085,17.0,1.0014,3.06,0.8,10.0,6
0.37,0.52,2.0,0.0819999999999999,6.0,0.998,3.18,0.51,9.5,5
0.59,0.59,2.6,0.087,13.0,0.9988,3.18,0.65,11.0,6
0.765,0.22,2.3,0.064,9.0,0.9963,3.1,0.55,9.4,5
0.48,0.54,2.6,0.085,19.0,1.0,3.1,0.61,10.5,6
0.6,0.49,2.7,0.085,10.0,0.9994,3.15,0.63,10.5,6
0.69,0.05,2.7,0.075,15.0,0.9974,3.26,0.61,9.1,5
0.44,0.47,2.5,0.063,9.0,0.9981,3.24,0.65,10.8,6
0.39,0.66,3.0,0.093,12.0,0.9996,3.18,0.63,10.8,7
0.46,0.49,4.5,0.07,26.0,0.9981,3.05,0.57,9.6,4
0.43,0.34,2.5,0.08,26.0,0.9987,3.38,0.62,9.5,6
0.735,0.16,1.9,0.1,15.0,0.9966,3.27,0.64,9.3,5
0.4,0.53,6.7,0.0969999999999999,6.0,0.9986,3.27,0.82,11.7,7
0.52,0.34,2.7,0.087,24.0,0.9982,3.26,0.61,9.5,5
0.725,0.24,6.6,0.1169999999999999,31.0,1.0014,3.32,1.07,9.3,5
0.48,0.64,2.2,0.111,6.0,0.997,3.26,0.66,11.7,6
0.58,0.12,1.9,0.091,34.0,0.9956,3.44,0.48,10.5,5
0.38,0.51,2.0,0.121,7.0,0.9996,3.24,0.76,10.4,6
0.77,0.0,1.8,0.066,34.0,0.9976,3.62,0.68,9.9,5
0.84,0.03,2.3,0.059,32.0,0.9952,3.52,0.56,12.3,7
0.96,0.2,2.0,0.047,15.0,0.9955,3.36,0.44,10.9,5
0.24,0.47,2.1,0.066,6.0,0.9978,3.15,0.9,11.0,7
0.67,0.08,2.1,0.045,19.0,0.9949,3.49,0.49,11.4,6
0.78,0.22,1.9,0.077,6.0,0.9988,3.26,0.56,10.6,6
0.52,0.33,1.3,0.07,9.0,0.9978,3.24,0.6,9.3,5
0.84,0.63,2.4,0.088,13.0,0.9997,3.1,0.6,10.4,6
0.55,0.35,2.2,0.074,21.0,0.9974,3.25,0.56,9.2,5
0.39,0.63,2.3,0.091,6.0,1.0004,3.16,0.49,9.5,5
0.41,0.55,3.2,0.076,22.0,0.9996,3.15,0.89,9.9,6
0.67,0.3,2.0,0.06,38.0,0.9958,3.26,0.56,10.2,6
0.45,0.73,3.2,0.066,6.0,0.9986,3.17,0.66,11.2,6
0.62,0.18,1.5,0.062,7.0,0.9951,3.08,0.6,9.3,5
0.31,0.72,2.2,0.072,6.0,0.9987,2.88,0.82,9.8,8
0.57,0.01,1.7,0.054,5.0,0.9934,3.57,0.84,12.5,7
0.38,0.6,2.6,0.081,31.0,0.9996,3.1,0.73,10.5,5
0.48,0.29,2.1,0.127,6.0,0.9968,3.22,0.72,11.2,5
0.53,0.22,2.0,0.1,7.0,0.9967,3.2,0.56,10.2,6
0.39,0.69,2.8,0.095,17.0,0.9994,3.1,0.61,10.8,6
0.56,0.03,1.7,0.084,18.0,0.9968,3.44,0.63,10.0,6
0.33,0.63,2.8,0.084,5.0,0.9998,3.26,0.74,11.2,7
0.23,0.4,1.6,0.063,21.0,0.9952,3.5,0.63,11.1,5
0.62,0.67,5.2,0.086,6.0,0.9988,3.22,0.69,13.4,8
0.59,0.39,2.3,0.095,5.0,0.9986,3.37,0.58,10.3,5
0.63,0.21,2.7,0.0969999999999999,29.0,0.9988,3.28,0.58,9.6,5
0.58,0.66,2.2,0.074,10.0,1.0008,3.25,0.57,9.0,3
0.43,0.52,2.3,0.083,14.0,0.9976,3.35,0.61,11.3,6
0.615,0.22,2.6,0.087,6.0,0.9982,3.26,0.61,9.3,5
0.315,0.54,2.1,0.084,5.0,0.9987,2.98,0.7,9.2,6
0.5,0.42,2.0,0.069,21.0,0.9982,3.16,0.72,11.5,6
0.36,0.69,2.1,0.09,6.0,1.0,3.17,0.62,9.2,6
0.82,0.02,1.2,0.07,36.0,0.9952,3.2,0.58,9.8,5
0.32,0.65,2.6,0.093,15.0,0.9996,3.05,0.61,10.6,5
0.54,0.42,2.4,0.081,25.0,0.997,3.2,0.71,11.4,6
0.37,0.55,2.6,0.083,25.0,0.9995,3.15,0.82,10.4,6
0.68,0.24,2.2,0.087,5.0,0.9988,3.14,0.6,10.2,5
0.27,0.41,2.0,0.091,6.0,0.998,3.28,0.7,9.7,5
0.24,0.49,1.8,0.075,6.0,0.9977,3.18,1.06,11.0,6
0.685,0.11,2.7,0.077,6.0,0.9984,3.19,0.7,10.1,6
0.3,0.56,2.8,0.08,6.0,0.9964,3.15,0.92,11.7,8
0.36,0.6,2.2,0.152,7.0,0.9986,3.04,1.06,9.4,5
0.67,0.39,1.9,0.054,6.0,0.9976,3.17,0.47,10.0,5
0.645,0.36,1.8,0.053,5.0,0.9982,3.17,0.42,10.0,6
0.39,0.4,2.6,0.073,10.0,0.9984,3.34,0.75,10.2,6
0.41,0.5,2.5,0.055,12.0,0.9952,3.34,0.79,13.3,7
0.4,0.51,2.6,0.052,13.0,0.995,3.32,0.9,13.4,7
0.69,0.31,3.0,0.086,23.0,1.0002,3.48,0.74,11.6,6
0.39,0.23,8.3,0.051,28.0,0.9952,3.44,0.55,12.1,6
0.35,0.53,2.6,0.07,5.0,0.9972,3.15,0.65,11.0,8
0.52,0.25,1.9,0.081,14.0,0.9984,3.43,0.65,9.0,6
0.34,0.32,2.5,0.09,43.0,0.9966,3.32,0.79,11.1,5
0.44,0.73,6.55,0.074,38.0,0.999,3.17,0.85,12.0,7
0.24,0.42,1.8,0.077,6.0,0.9976,3.21,1.05,10.8,7
0.49,0.63,2.9,0.072,10.0,0.9968,3.16,0.78,12.5,7
0.24,0.46,1.8,0.075,6.0,0.9976,3.25,1.02,10.8,7
0.67,0.55,2.3,0.084,6.0,1.0,3.17,0.71,9.5,6
0.59,0.31,2.2,0.09,26.0,0.9994,3.18,0.63,10.2,6
0.4,0.48,2.1,0.125,15.0,0.998,3.03,0.81,9.7,6
0.51,0.64,2.4,0.107,6.0,0.9973,3.09,0.66,11.8,7
0.655,0.49,6.1,0.122,34.0,1.001,3.31,1.14,9.3,5
0.6,0.49,4.3,0.1,5.0,1.001,3.25,0.74,11.9,6
0.61,0.49,2.1,0.2,5.0,0.9994,3.16,0.63,8.4,3
0.25,0.49,2.7,0.088,15.0,0.9982,3.42,0.9,10.0,6
0.4,0.49,2.5,0.085,38.0,0.9978,3.22,0.55,9.4,5
0.43,0.49,2.4,0.086,23.0,0.9976,3.23,0.64,9.5,5
0.38,0.49,2.5,0.0969999999999999,33.0,0.9962,3.39,0.77,11.4,6
0.63,0.24,2.4,0.077,6.0,0.9974,3.09,0.57,9.4,5
0.22,0.24,2.1,0.078,1.0,0.999,3.41,0.87,10.3,6
0.38,0.49,2.7,0.098,12.0,1.0004,3.16,0.61,10.3,5
0.27,0.24,2.1,0.072,15.0,0.9956,3.22,0.66,12.8,6
0.48,0.24,2.7,0.102,13.0,1.0,3.28,0.56,10.0,6
0.825,0.24,2.1,0.084,5.0,0.9972,3.37,0.77,10.7,6
0.35,0.49,5.8,0.066,5.0,1.0014,3.2,0.66,12.0,7
0.5,0.74,5.15,0.1,5.0,0.9996,3.22,0.62,11.2,5
0.59,0.24,3.3,0.1009999999999999,20.0,0.9988,3.26,0.67,9.6,5
0.46,0.49,6.3,0.064,5.0,0.9988,3.21,0.73,11.0,6
0.715,0.24,2.1,0.07,5.0,0.9966,3.12,0.59,9.9,5
0.66,0.24,2.5,0.085,16.0,0.9993,3.06,0.72,11.0,6
0.31,0.74,1.8,0.075,6.0,1.0008,2.86,0.79,8.4,6
0.47,0.49,2.6,0.094,38.0,0.9982,3.08,0.59,9.1,5
0.55,0.24,2.0,0.078,10.0,0.9983,3.45,0.78,9.5,6
0.31,0.49,2.5,0.067,6.0,0.9987,3.26,0.86,10.7,6
0.35,0.49,2.6,0.079,27.0,0.9994,3.12,0.75,10.4,6
0.51,0.01,2.1,0.074,9.0,0.9958,3.33,0.56,9.5,6
0.43,0.24,2.8,0.092,14.0,0.998,3.19,0.73,10.0,6
0.46,0.24,2.7,0.092,14.0,0.998,3.12,0.74,10.0,6
1.04,0.24,1.6,0.05,32.0,0.9934,3.74,0.62,11.5,5
0.53,0.49,4.6,0.118,10.0,1.0002,3.07,0.56,11.7,6
0.47,0.49,4.3,0.085,6.0,1.0021,3.3,0.68,12.7,6
0.6,0.49,2.8,0.075,5.0,0.9994,3.14,0.57,11.4,5
0.54,0.49,2.9,0.094,41.0,0.9982,3.08,0.61,9.2,5
0.29,0.49,2.7,0.092,25.0,0.9971,3.31,0.61,10.1,6
0.7,0.24,2.5,0.226,5.0,0.9991,3.32,0.6,9.0,6
0.5,0.49,2.6,0.25,5.0,0.999,3.31,0.79,10.7,6
0.36,0.24,2.2,0.095,19.0,0.9946,3.57,0.57,11.7,6
0.35,0.49,3.3,0.07,10.0,1.0003,3.32,0.91,11.0,6
0.24,0.49,2.4,0.075,10.0,0.9978,3.14,0.61,10.4,5
0.5,0.24,2.3,0.103,6.0,0.9978,3.34,0.52,10.0,4
0.44,0.49,2.8,0.083,18.0,0.9982,3.3,0.6,9.5,5
0.47,0.49,2.9,0.085,17.0,0.9982,3.29,0.6,9.8,5
0.31,0.49,2.2,0.063,18.0,0.9976,3.14,0.51,9.8,6
0.5,0.49,2.2,0.089,5.0,1.0002,3.19,0.44,9.6,5
0.28,0.49,1.9,0.074,10.0,0.9976,2.98,0.66,9.9,7
0.73,0.24,1.9,0.108,18.0,0.9967,3.26,0.59,9.3,5
